country_code,iata,latitude,longitude
AR,NEC,-38.4831,-58.8172
AR,OVR,-36.89,-60.2166
AR,OYO,-38.3869,-60.3297
AR,PEH,-35.8446,-61.8576
AR,SST,-36.5423,-56.7218
AR,TDL,-37.2374,-59.2279
AR,VGS,-35,-63
AR,VLG,-37.2354,-57.0292
AR,CTC,-28.5956,-65.7517
AR,CNT,-27.2164,-61.2103
AR,PRQ,-26.7536,-60.4922
AR,RES,-27.45,-59.0561
AR,ARR,-45.0136,-70.8122
AR,CRD,-45.7853,-67.4655
AR,EMX,-42.0292,-71.1725
AR,EQS,-42.908,-71.1395
AR,JSM,-44.0486,-70.4589
AR,OLN,-45.5824,-68.9998
AR,PMY,-42.7592,-65.1027
AR,REL,-43.2105,-65.2703
AR,ROY,-45.7039,-70.2456
AR,COR,-31.3236,-64.208
AR,LCM,-31.0058,-64.5319
AR,RCU,-33.0851,-64.2613
AR,VDR,-31.9452,-65.1463
AR,AOL,-29.6894,-57.1521
AR,CNQ,-27.4455,-58.7619
AR,MCS,-30.2719,-57.6402
AR,MDX,-29.2214,-58.0878
AR,OYA,-29.1058,-59.2189
AR,UZU,-29.7706,-57.9789
AR,COC,-31.2969,-57.9966
AR,GHU,-33.0103,-58.6131
AR,PRA,-31.7948,-60.4804
AR,CLX,-25.3036,-57.7344
AR,FMA,-26.2127,-58.2281
AR,LLS,-24.7214,-60.5488
AR,JUJ,-24.3928,-65.0978
AR,GPO,-35.6962,-63.7583
AR,RSA,-36.5883,-64.2757
AR,IRJ,-29.3816,-66.7958
AR,AFA,-34.5883,-68.4039
AR,LGS,-35.4936,-69.5743
AR,MDZ,-32.8317,-68.7929
AR,ELO,-26.3975,-54.5747
AR,IGR,-25.7373,-54.4734
AR,PSS,-27.3858,-55.9707
AR,APZ,-38.9755,-70.1136
AR,CPC,-40.0754,-71.1373
AR,CUT,-38.9397,-69.2646
AR,CVH,-37.8514,-71.0092
AR,HOS,-37.4447,-70.2225
AR,LCP,-38.0819,-70.6439
AR,NQN,-38.949,-68.1557
AR,RDS,-37.3906,-68.9042
AR,BRC,-41.1512,-71.1575
AR,CCT,-37.9102,-67.835
AR,EHL,-41.9432,-71.5323
AR,GNR,-39.0007,-67.6205
AR,IGB,-41.3209,-69.5749
AR,LMD,-40.8177,-68.0747
AR,MQD,-41.2431,-68.7078
AR,OES,-40.7512,-65.0343
AR,SGV,-41.5917,-65.3394
AR,VCF,-40.7,-66.15
AR,VDM,-40.8692,-63.0004
AR,ORA,-23.1528,-64.3292
AR,SLA,-24.856,-65.4862
AR,TTG,-22.6196,-63.7937
AR,UAQ,-31.5715,-68.4182
AR,LUQ,-33.2732,-66.3564
AR,RLO,-32.3847,-65.1865
AR,VME,-33.7299,-65.3874
AR,CVI,-46.4318,-67.5186
AR,FTE,-50.2803,-72.0531
AR,GGS,-48.7831,-70.15
AR,LHS,-46.5383,-68.9653
AR,PMQ,-46.5379,-70.9787
AR,PUD,-47.7353,-65.9041
AR,RGL,-51.6089,-69.3126
AR,RYO,-51.605,-72.2203
AR,RZA,-50.0165,-68.5792
AR,ULA,-49.3068,-67.8026
AR,CRR,-29.8723,-61.9279
AR,NCJ,-30.9575,-61.5283
AR,RAF,-31.2825,-61.5017
AR,RCQ,-29.2103,-59.68
AR,ROS,-32.9036,-60.785
AR,SFN,-31.7117,-60.8117
AR,RHD,-27.4966,-64.936
AR,SDE,-27.7656,-64.31
AR,RGA,-53.7777,-67.7494
AR,USH,-54.8433,-68.2958
AR,TUC,-26.8409,-65.1049
AS,OFU,-14.1844,-169.67
AS,PPG,-14.331,-170.71
AS,TAV,-14.2292,-169.511
AT,KLU,46.6425,14.3377
AT,VIE,48.1103,16.5697
AT,LNZ,48.2332,14.1875
AT,SZG,47.7933,13.0043
AT,GRZ,46.9911,15.4396
AT,INN,47.2602,11.344
AT,HOH,47.385,9.7
AU,CBR,-35.3069,149.195
AU,ABX,-36.0678,146.958
AU,ARM,-30.5281,151.617
AU,BEO,-33.0667,151.648
AU,BHQ,-32.0014,141.472
AU,BHS,-33.4094,149.652
AU,BNK,-28.8339,153.562
AU,BRK,-30.0392,145.952
AU,BWQ,-29.9739,146.817
AU,BWU,-33.9244,150.988
AU,BZD,-34.6236,143.578
AU,CAZ,-31.5383,145.794
AU,CBX,-33.0644,147.209
AU,CDU,-34.0403,150.687
AU,CES,-32.7875,151.342
AU,CFS,-30.3206,153.116
AU,CLH,-31.7733,149.61
AU,CMD,-34.6239,148.028
AU,CNB,-30.9833,148.376
AU,COJ,-31.3325,149.267
AU,CRB,-29.5217,148.582
AU,CSI,-28.8828,153.067
AU,CUG,-33.2783,148.763
AU,CWT,-33.8447,148.649
AU,CWW,-35.9947,146.357
AU,DBO,-32.2167,148.575
AU,DGE,-32.5625,149.611
AU,DNQ,-35.5594,144.946
AU,EVH,-29.0933,153.42
AU,FLY,-35.6667,145.55
AU,FOT,-32.2042,152.479
AU,FRB,-33.3636,147.935
AU,GFE,-34,148.133
AU,GFF,-34.2508,146.067
AU,GFN,-29.7594,153.03
AU,GLI,-29.675,151.689
AU,GOS,-33.3678,151.3
AU,GUH,-30.9611,150.251
AU,GUL,-34.8103,149.726
AU,HXX,-34.5314,144.83
AU,IVR,-29.8883,151.144
AU,KPS,-31.0744,152.77
AU,LBH,-33.5871,151.323
AU,LDH,-31.5383,159.077
AU,LHG,-29.4567,147.984
AU,LSY,-28.8303,153.26
AU,MIM,-36.9086,149.901
AU,MRZ,-29.4989,149.845
AU,MTL,-32.7013,151.493
AU,MVH,-30.7,152.917
AU,MYA,-35.8978,150.144
AU,NAA,-30.3192,149.827
AU,NBH,-30.65,153
AU,NGA,-34.2556,148.248
AU,NOA,-34.9489,150.537
AU,NRA,-34.7022,146.512
AU,NSO,-32.0372,150.832
AU,NTL,-32.795,151.834
AU,NYN,-31.5511,147.203
AU,OAG,-33.3817,149.133
AU,OOM,-36.3006,148.974
AU,PKE,-33.1314,148.239
AU,PQQ,-31.4358,152.863
AU,RSE,-33.869,151.262
AU,SIX,-32.6008,151.193
AU,SYD,-33.9461,151.177
AU,TCW,-35.8117,145.608
AU,TEM,-34.4214,147.512
AU,TMW,-31.0839,150.847
AU,TRO,-31.8886,152.514
AU,TUM,-35.2628,148.241
AU,TYB,-29.4511,142.058
AU,UIR,-31.4906,150.514
AU,WAU,-20.6406,134.215
AU,WEW,-30.2583,149.408
AU,WGA,-35.1653,147.466
AU,WGE,-30.0328,148.126
AU,WIO,-31.5264,143.375
AU,WLC,-31,151.567
AU,WOL,-34.5611,150.789
AU,WWY,-33.9372,147.191
AU,XRH,-33.6006,150.781
AU,AMX,-21.7383,135.242
AU,ANZ,-25.0325,132.275
AU,ASP,-23.8067,133.902
AU,AVG,-15.7,130
AU,AWP,-20.5,137.75
AU,AXL,-19.0602,136.71
AU,AYD,-19.2908,136.079
AU,AYL,-18.0181,135.535
AU,AYQ,-25.1861,130.976
AU,BCZ,-13.7808,136.202
AU,BOX,-16.0753,136.302
AU,BRT,-11.7692,130.62
AU,BTD,-18.64,135.938
AU,BYX,-13.1981,136.227
AU,CDA,-12.9033,132.532
AU,CFI,-17.0217,131.327
AU,CKI,-11.165,132.483
AU,COB,-15.5483,130.962
AU,CSD,-17.948,135.916
AU,CTR,-17.607,131.549
AU,DKV,-24.86,129.07
AU,DLV,-12.55,130.685
AU,DRW,-12.4147,130.877
AU,DVR,-13.7498,130.694
AU,DYW,-16.2647,133.383
AU,EDD,-25.2058,133.254
AU,EKD,-21.1725,135.444
AU,ELC,-12.0194,135.571
AU,EVD,-18.001,134.863
AU,FIK,-25.5947,134.583
AU,GBL,-11.65,133.382
AU,GOV,-12.2694,136.818
AU,GPN,-11.4025,130.422
AU,GTE,-13.975,136.46
AU,GTS,-26.9483,133.607
AU,HMG,-23.93,132.805
AU,HOK,-18.3367,130.638
AU,HRY,-24.584,133.236
AU,HUB,-16.4897,130.63
AU,IVW,-17.8411,129.643
AU,JAB,-12.6583,132.893
AU,KBB,-17.7792,129.21
AU,KBJ,-24.26,131.49
AU,KCS,-24.4233,131.835
AU,KFG,-17.4319,130.808
AU,KGR,-25.8428,133.292
AU,KRD,-20.51,134.671
AU,KTR,-14.5211,132.378
AU,LEL,-12.4989,135.806
AU,LIB,-17.2356,129.882
AU,LNH,-20.9807,137.918
AU,MCV,-16.4425,136.084
AU,MFP,-22.1,137.983
AU,MGT,-12.0944,134.894
AU,MIY,-18.8093,137.081
AU,MIZ,-14.0533,134.094
AU,MKV,-25.9667,133.2
AU,MNG,-12.0561,134.234
AU,MNV,-14.1167,133.833
AU,MNW,-22.444,135.199
AU,MQE,-22.8058,137.251
AU,MRT,-14.8181,133.701
AU,MSF,-22.6247,135.035
AU,MTD,-16.9783,130.555
AU,MUP,-25.86,131.65
AU,NPP,-22.5312,133.763
AU,NRY,-16.0442,129.264
AU,NUB,-14.2717,135.717
AU,PEP,-14.1442,130.091
AU,PKT,-14.25,129.529
AU,RAM,-12.3564,134.898
AU,RDA,-18.9533,135.201
AU,RPB,-14.7348,134.525
AU,RPM,-14.7228,134.747
AU,RPV,-14.9215,134.05
AU,RRV,-16.7183,136.945
AU,SHU,-11.15,132.15
AU,SNB,-11.4228,130.654
AU,TBK,-15.62,130.445
AU,TCA,-19.6344,134.183
AU,TYP,-22.2558,137.953
AU,UTD,-15.8074,134.146
AU,VCD,-16.4021,131.005
AU,WAV,-17.3933,131.118
AU,WLL,-17.2199,137.935
AU,WLO,-16.63,129.32
AU,YUE,-22.2542,131.782
AU,AAB,-26.693,141.048
AU,ABG,-17.6167,143.167
AU,ABH,-23.6461,146.584
AU,ABM,-10.9508,142.459
AU,AGW,-12.1456,142.149
AU,AUD,-18.515,139.878
AU,AUU,-13.3541,141.721
AU,AXC,-22.9667,145.242
AU,AYR,-19.5844,147.329
AU,BBL,-27.4056,141.809
AU,BCI,-23.5653,145.307
AU,BCK,-17.3883,144.169
AU,BDB,-24.9039,152.319
AU,BDD,-10.15,142.173
AU,BEU,-24.3461,139.46
AU,BFC,-15.8736,145.33
AU,BHT,-23.3639,141.563
AU,BIP,-16.8808,143.479
AU,BKP,-20.4958,138.475
AU,BKQ,-24.4278,145.429
AU,BLS,-28.0583,147.483
AU,BLT,-23.6031,148.807
AU,BMP,-20.8033,149.27
AU,BNE,-27.3842,153.117
AU,BQL,-22.9133,139.9
AU,BTX,-25.6417,140.783
AU,BUC,-17.7486,139.534
AU,BVI,-25.8975,139.348
AU,BVW,-12.6592,142.675
AU,BZP,-14.7403,144.119
AU,CBY,-19.4794,140.927
AU,CCL,-26.775,150.617
AU,CDQ,-18.225,142.258
AU,CFP,-18.7167,144.317
AU,CMA,-28.03,145.622
AU,CML,-19.9117,138.125
AU,CMQ,-22.7731,147.621
AU,CNC,-10.05,143.07
AU,CNJ,-20.6686,140.504
AU,CNS,-16.8858,145.755
AU,CQP,-14.9708,145.312
AU,CRH,-28.4301,152.089
AU,CTL,-26.4133,146.262
AU,CTN,-15.4447,145.184
AU,CUD,-26.8,153.1
AU,CUQ,-13.7611,143.113
AU,CXT,-20.0431,146.273
AU,CZY,-24.5167,139.617
AU,DBY,-27.1553,151.267
AU,DDN,-16.9917,141.317
AU,DFP,-16.053,143.012
AU,DHD,-27.075,141.9
AU,DKI,-17.9417,146.14
AU,DMD,-17.9403,138.822
AU,DNB,-16.05,142.4
AU,DRD,-16.5537,141.824
AU,DRN,-28.5917,148.217
AU,DRR,-25.685,140.228
AU,DVP,-24.15,141.108
AU,DXD,-15.1175,143.316
AU,DYA,-22.6222,148.364
AU,DYM,-23.7617,141.145
AU,EDR,-14.8965,141.609
AU,EIH,-18.5033,144.094
AU,EMD,-23.5675,148.179
AU,ERQ,-20.9764,141.007
AU,GAH,-25.6144,151.619
AU,GBP,-16.55,143.667
AU,GGD,-18.625,139.233
AU,GIC,-9.23278,142.218
AU,GKL,-23.1833,150.942
AU,GLG,-24.8083,139.6
AU,GLM,-22.8883,138.825
AU,GLT,-23.8697,151.223
AU,GOO,-28.5214,150.32
AU,GPD,-19.7726,139.404
AU,GTT,-18.305,143.53
AU,GVP,-18.9966,145.014
AU,GYP,-26.2828,152.702
AU,HAT,-11.7369,142.577
AU,HGD,-20.815,144.225
AU,HID,-10.5864,142.29
AU,HIG,-16.4244,143.146
AU,HIP,-21.3333,138.283
AU,HLV,-15.6858,145.215
AU,HPE,-15.2923,145.104
AU,HTI,-20.3581,148.952
AU,HVB,-25.3189,152.88
AU,IFF,-18.9,141.217
AU,IFL,-17.5594,146.012
AU,IGH,-18.6606,146.152
AU,IKP,-16.275,141.442
AU,INJ,-25.851,148.55
AU,IRG,-12.7869,143.305
AU,ISA,-20.6639,139.489
AU,ISI,-24.2583,144.425
AU,JCK,-20.6683,141.723
AU,JUN,-24.8417,143.058
AU,KCE,-20.5967,147.86
AU,KDS,-24.3388,139.279
AU,KGY,-26.5808,151.841
AU,KKP,-15.3189,143.955
AU,KML,-19.375,140.057
AU,KOH,-15.8886,142.439
AU,KPP,-14.89,144.22
AU,KRB,-17.4567,140.83
AU,KSV,-23.55,140.7
AU,KUG,-10.225,142.218
AU,KWM,-15.4856,141.751
AU,LDC,-20.4536,149.04
AU,LFP,-14.9207,144.203
AU,LKD,-15.8333,144.85
AU,LLG,-17.1428,144.529
AU,LLP,-23.0167,138.7
AU,LOA,-18.9933,139.907
AU,LRE,-23.4342,144.28
AU,LTP,-19.1958,144.371
AU,LTV,-17.0483,141.376
AU,LUT,-15.1833,144.367
AU,LUU,-15.55,144.45
AU,LWH,-18.5683,138.635
AU,LYT,-24.1129,152.716
AU,LZR,-14.6733,145.455
AU,MBH,-25.5133,152.715
AU,MCY,-26.6033,153.091
AU,MET,-12.4442,142.638
AU,MFL,-19.67,144.885
AU,MKY,-21.1717,149.18
AU,MLV,-13.0649,142.454
AU,MMM,-22.8025,148.705
AU,MNQ,-24.8858,151.1
AU,MOV,-22.0578,148.077
AU,MRG,-17.0692,145.419
AU,MRL,46.3834,-82.6331
AU,MTQ,-26.4833,147.937
AU,MVU,-14.7757,143.505
AU,MWY,-17.3289,141.886
AU,MXD,-23.3637,139.65
AU,MYI,-9.91667,144.055
AU,NLF,-9.58333,143.767
AU,NMP,-19.2,145.773
AU,NMR,-27.5583,141.133
AU,NSV,-26.4233,153.063
AU,NTN,-17.6841,141.07
AU,OBA,56.4657,-5.3977
AU,OKB,-24.9594,153.315
AU,OKR,-9.7528,143.406
AU,OKY,-27.4114,151.735
AU,ONG,-16.6625,139.178
AU,ONR,-24.8167,140.533
AU,OOL,-28.1644,153.505
AU,OOR,-25.25,140.983
AU,OPI,-12.325,133.006
AU,ORS,-18.634,146.5
AU,OSO,-22.0817,140.555
AU,OXO,-28.0598,141.536
AU,OXY,-25.3583,141.433
AU,PHQ,-21.8111,139.924
AU,PMK,-18.7553,146.581
AU,PPP,-20.495,148.552
AU,RCM,-20.7019,143.115
AU,RKY,-13.6434,142.641
AU,RLP,-18.4253,144.459
AU,RMA,-26.545,148.775
AU,ROH,-18.845,143.71
AU,ROK,-23.3819,150.475
AU,RSB,-25.8333,139.65
AU,RTP,-15.6433,141.843
AU,SBR,-9.37833,142.625
AU,SCG,-18.6333,144.567
AU,SGO,-28.0497,148.595
AU,SHQ,-27.9221,153.372
AU,SNH,-28.6203,151.991
AU,SRM,-24.0568,139.082
AU,SRR,-27.5167,153.428
AU,SSP,-13.9754,143.554
AU,STF,-9.51,143.55
AU,STH,-17.85,142.567
AU,SVM,-10.3667,142.117
AU,SYU,-10.2083,142.825
AU,TAN,-27.13,153.363
AU,TDR,-24.9933,150.093
AU,THG,-24.4939,150.576
AU,TQP,-21.835,140.888
AU,TSV,-19.2525,146.765
AU,TWB,-27.5428,151.916
AU,TWN,-26.388,153.028
AU,TWP,-17.3633,143.75
AU,TXR,-25.8478,141.928
AU,TYG,-26.0833,143.467
AU,UBB,-9.95,142.183
AU,UDA,-18.2,144.6
AU,ULP,-26.6122,144.253
AU,UTB,-22.5833,144.533
AU,VNR,-16.9633,141.95
AU,WAN,-25.3563,141.925
AU,WAZ,-28.1494,151.943
AU,WDI,-26.2833,151.858
AU,WEI,-12.6786,141.925
AU,WIN,-22.3636,143.086
AU,WLE,-26.8083,150.175
AU,WNR,-25.4131,142.667
AU,WON,-18.575,140.892
AU,WPK,-16.6583,144.002
AU,WSY,-20.2761,148.755
AU,WTB,-27.5583,151.793
AU,XMY,-9.90111,142.776
AU,XTG,-27.9864,143.811
AU,XTO,-25.8017,149.9
AU,XTR,-27.1567,150.477
AU,ZBL,-24.4,150.51
AU,ZBO,-20.0183,148.215
AU,ZGL,-25.6833,142.108
AU,ADL,-34.945,138.531
AU,ADO,-30.4383,137.137
AU,AMT,-26.1083,131.207
AU,AWN,-26.5333,139.267
AU,CCW,-33.6667,136.892
AU,CED,-32.1306,133.71
AU,CFH,-27.0183,138.892
AU,CPD,-29.04,134.721
AU,CRJ,-31.8944,132.296
AU,CVC,-33.7097,136.505
AU,CWR,-27.7117,138.328
AU,DLK,-29.0133,138.481
AU,ERB,-26.2633,132.182
AU,ETD,-28.7408,138.589
AU,GSN,-31.4597,137.174
AU,HWK,-31.8559,138.468
AU,IDK,-26.9667,133.325
AU,INM,-27.7,140.733
AU,KBY,-32.8358,134.293
AU,KGC,-35.7139,137.521
AU,KYI,-31.4706,131.825
AU,LCN,-30.535,139.337
AU,LGH,-30.5983,138.426
AU,LOC,-33.5442,135.693
AU,MGB,-37.7456,140.785
AU,MIN,-32.8433,135.145
AU,MLR,-37.5836,140.366
AU,MNE,-28.0092,138.657
AU,MOO,-28.0994,140.197
AU,MRP,-27.3333,133.627
AU,MVK,-28.3478,138.65
AU,MWT,-29.9069,139.765
AU,NAC,-36.9853,140.725
AU,NUR,-31.4417,130.902
AU,ODD,-27.5617,135.447
AU,ODL,-26.7453,140.638
AU,OLP,-30.485,136.877
AU,ORR,-35,137.617
AU,PDE,-26.1167,139.4
AU,PDN,-35.807,137.264
AU,PEA,-35.7558,137.963
AU,PEY,-31.9167,133
AU,PLO,-34.6053,135.88
AU,PPI,-33.2389,137.995
AU,PUG,-32.5069,137.717
AU,PXH,-29.716,135.524
AU,RCN,-35.7574,137.776
AU,RMK,-34.1964,140.674
AU,RRE,-29.6633,138.065
AU,RTY,-28.5833,140.317
AU,TAQ,-30.7033,134.584
AU,UMR,-31.1442,136.817
AU,WUD,-33.0433,135.447
AU,WYA,-33.0589,137.514
AU,XML,-34.75,137.533
AU,BWT,-40.9989,145.731
AU,CBI,-40.3917,148.017
AU,DPO,-41.1697,146.43
AU,FLS,-40.0917,147.993
AU,GEE,-41.08,146.84
AU,HBA,-42.8361,147.51
AU,HLS,-41.3367,148.282
AU,KNS,-39.8775,143.878
AU,LST,-41.5453,147.214
AU,LTB,-41.2352,146.396
AU,SIO,-40.835,145.084
AU,SRN,-42.155,145.292
AU,UEE,-42.075,145.532
AU,ARY,-37.3094,142.989
AU,AVV,-38.0394,144.469
AU,BLN,-36.5519,146.007
AU,BRJ,-36.733,146.967
AU,BSJ,-37.8875,147.568
AU,BXG,-36.7394,144.33
AU,CYG,-36.1828,147.888
AU,ECH,-36.1572,144.762
AU,GEX,-38.225,144.333
AU,HLT,-37.6489,142.065
AU,HSM,-36.6697,142.173
AU,HTU,-35.7153,142.36
AU,KRA,-35.7514,143.939
AU,MBF,-36.7187,146.89
AU,MBW,-37.9758,145.102
AU,MEB,-37.7281,144.902
AU,MEL,-37.6733,144.843
AU,MHU,-37.0475,147.334
AU,MQL,-34.2292,142.086
AU,OYN,-35.089,142.354
AU,PTJ,-38.3181,141.471
AU,RBC,-34.65,142.783
AU,RBS,-37.79,148.61
AU,SHT,-36.4289,145.393
AU,SWC,-37.0717,142.741
AU,SWH,-35.3758,143.533
AU,SXE,-38.0908,146.965
AU,TGN,-38.2072,146.47
AU,WGT,-36.4158,146.307
AU,WHL,-38.6824,146.445
AU,WKB,-36.3211,142.419
AU,WMB,-38.2953,142.447
AU,XCO,-38.2867,143.68
AU,XMC,-37.5983,149.72
AU,ALH,-34.9433,117.809
AU,BDW,-17.2867,127.463
AU,BEE,-17.0165,122.646
AU,BIW,-19.5667,127.667
AU,BME,-17.9447,122.232
AU,BQB,-33.6884,115.402
AU,BQW,-20.1483,127.973
AU,BUY,-33.3783,115.677
AU,BVZ,-16.7333,125.433
AU,BWB,-20.8644,115.406
AU,BXF,-17.545,128.305
AU,BYP,-22.6739,119.166
AU,CBC,-18.9178,125.538
AU,CGV,-32.265,125.493
AU,CIE,-33.3667,116.217
AU,CJF,-22.9667,118.813
AU,CKW,-22.3543,119.643
AU,COY,-21.7946,117.755
AU,CRY,-15.5019,128.534
AU,CUY,-27.4467,117.918
AU,CVQ,-24.8802,113.672
AU,CXQ,-22.3567,119.652
AU,DCN,-17.5814,123.828
AU,DGD,-27.8303,117.316
AU,DNG,-15.3864,126.302
AU,DNM,-25.8882,113.577
AU,DOX,-29.2981,114.927
AU,DRB,-17.37,123.661
AU,DRY,-15.7136,126.381
AU,ENB,-29.8325,115.246
AU,EPR,-33.6844,121.823
AU,EUC,-31.7,128.883
AU,EXM,-22.0333,114.1
AU,FIZ,-18.1819,125.559
AU,FOS,-30.8381,128.115
AU,FSL,-18.1321,125.787
AU,FVL,-18.2833,128.417
AU,FVR,-15.1647,127.84
AU,GBV,-16.4233,126.445
AU,GBW,-22.5812,120.036
AU,GDD,-18.6781,128.592
AU,GET,-28.7961,114.707
AU,GLY,-20.333,119.5
AU,GSC,-25.0546,115.203
AU,GYL,-16.6369,128.451
AU,HCQ,-18.2339,127.67
AU,HLL,-21.7244,119.392
AU,JAD,-32.0975,115.881
AU,JUR,-30.3016,115.056
AU,KAX,-27.6928,114.259
AU,KBD,-17.3978,124.355
AU,KDB,-31.1907,121.598
AU,KFE,-22.2908,119.437
AU,KGI,-30.7894,121.462
AU,KNI,-33.7167,117.633
AU,KNX,-15.7781,128.708
AU,KQR,-29.2167,116.687
AU,KTA,-20.7122,116.773
AU,KYF,-27.2771,120.096
AU,LDW,-17.6128,126.743
AU,LEA,-22.2356,114.089
AU,LER,-27.8433,120.703
AU,LGE,-20.1089,127.619
AU,LLL,-16.661,128.594
AU,LNO,-28.8781,121.315
AU,LVO,-28.6136,122.424
AU,MBB,-21.1633,119.833
AU,MBN,-16.6573,125.961
AU,MGV,-18.6217,126.883
AU,MHO,-17.055,125.71
AU,MIH,-14.7914,125.824
AU,MJK,-25.8939,113.577
AU,MJP,-34.2653,116.14
AU,MKR,-26.6117,118.548
AU,MMG,-28.1161,117.842
AU,MQA,-19.7383,120.838
AU,MQZ,-33.9306,115.1
AU,MUQ,-20.6589,120.067
AU,MWB,-29.2017,116.022
AU,MXU,-28.475,115.517
AU,MYO,-18.1247,124.272
AU,NDS,-27.98,119.297
AU,NIF,-21.6717,121.587
AU,NKB,-18.4947,124.852
AU,NLL,-21.9133,120.198
AU,NLS,-18.05,128.9
AU,NRG,-32.93,117.08
AU,NSM,-32.21,121.755
AU,OCM,-22.54,117.275
AU,ODR,-17.3408,128.912
AU,ONS,-21.6683,115.113
AU,PBO,-23.1711,117.745
AU,PER,-31.9403,115.967
AU,PHE,-20.3778,118.626
AU,PRD,-20.1175,119.59
AU,RBU,-20.7617,117.157
AU,RHL,-22.6258,119.959
AU,RTS,-32.0067,115.54
AU,RVT,-33.7972,120.208
AU,,-32.394167,115.872222
AU,SGP,-20.4247,120.141
AU,SLJ,-22.2554,117.763
AU,SQC,-31.24,119.36
AU,SSK,-19.1664,128.174
AU,SWB,-21.5103,119.362
AU,TBL,-17.2833,126.9
AU,TDN,-14.7881,126.496
AU,TEF,-21.715,122.229
AU,TKY,-17.0408,128.206
AU,TPR,-22.746,117.869
AU,TTX,-14.0897,126.381
AU,UBU,-14.2883,126.632
AU,USL,-26.1667,113.4
AU,WIT,-22.2183,118.348
AU,WLA,-19.7736,120.649
AU,WLP,-23.1356,118.707
AU,WME,-27.2864,120.555
AU,WND,-28.475,122.242
AU,WRN,-30.0317,119.39
AU,WRW,-20.8442,120.702
